Date,Time,NO2,PM10,PM25,C_NO2,C_PM10,C_PM25
01.05.2022,01:00,2.843,9.065,6.1,3.3951232,11.869507,10.046823
01.05.2022,02:00,3.283,10.976,7.822,3.2733786,11.040118,10.448124
01.05.2022,03:00,1.739,11.431,7.944,3.0869966,10.262326,9.754615
01.05.2022,04:00,1.523,10.464,7.364,3.3523974,10.821329,10.275774
01.05.2022,05:00,1.957,10.456,7.533,4.5311036,12.07233,10.323227
01.05.2022,06:00,3.5,12.476,8.394,5.410542,12.35717,11.699312
01.05.2022,07:00,,16.358,9.572,5.517165,13.614282,11.049968
01.05.2022,08:00,5.004,15.662,9.703,5.0138173,14.379512,11.591051
01.05.2022,09:00,6.984,17.663,10.435,4.1127067,15.803096,14.721346
01.05.2022,10:00,3.193,20.612,11.195,3.5731204,16.025877,16.564589
01.05.2022,11:00,0.977,17.868,10.352,3.2987444,15.359563,15.308053
01.05.2022,12:00,0.124,18.636,10.846,3.4272673,11.458691,13.110035
01.05.2022,13:00,0.245,26.475,11.929,3.3736863,11.802177,12.861179
01.05.2022,14:00,0.48,22.861,10.442,3.8695953,12.0407715,13.42993
01.05.2022,15:00,0.547,16.984,9.932,4.927014,12.64857,13.08048
01.05.2022,16:00,1.017,16.166,11.001,5.2338204,15.420738,14.374076
01.05.2022,17:00,1.03,19.882,14.317,5.6988335,14.274531,13.846143
01.05.2022,18:00,2.573,87.71,28.894,7.169993,13.431084,13.878884
01.05.2022,19:00,5.14,29.52,23.016,7.802931,13.940451,14.133542
01.05.2022,20:00,11.263,27.626,20.241,6.09219,14.861655,14.252111
01.05.2022,21:00,7.737,30.575,23.771,4.886524,15.284188,14.143881
01.05.2022,22:00,5.849,28.504,23.214,4.5411344,14.786849,13.911837
01.05.2022,23:00,5.162,18.385,13.785,4.241243,12.820252,11.628584
02.05.2022,00:00,4.148,10.799,7.677,3.2263188,9.620176,8.855275
02.05.2022,01:00,10.786,16.842,12.171,3.0343704,7.500961,8.681988
02.05.2022,02:00,9.859,16.831,12.852,2.7608502,8.151744,7.756043
02.05.2022,03:00,4.057,17.74,14.544,2.664522,9.01529,7.6000504
02.05.2022,04:00,2.347,16.735,14.922,2.68576,6.458521,6.0626884
02.05.2022,05:00,1.352,14.011,12.322,3.6891174,5.7654576,5.090854
02.05.2022,06:00,3.483,10.983,8.903,4.771622,7.499721,7.4993396
02.05.2022,07:00,4.579,10.334,7.239,5.2694855,7.128392,7.427714
02.05.2022,08:00,,12.822,5.886,4.7981753,8.461711,7.6345186
02.05.2022,09:00,9.465,98.123,20.22,4.854485,8.418795,9.310041
02.05.2022,10:00,7.217,296.408,45.117,4.9821625,10.7451725,10.764389
02.05.2022,11:00,6.345,481.196,71.005,4.987669,13.027627,10.24639
02.05.2022,12:00,7.267,528.38,78.148,4.5229173,12.585192,9.409374
02.05.2022,13:00,1.833,148.489,25.471,4.6515536,14.796229,11.200432
02.05.2022,14:00,1.922,25.372,8.856,5.1440463,12.30652,10.552233
02.05.2022,15:00,0.375,31.362,9.216,6.0633745,13.035879,9.990927
02.05.2022,16:00,3.952,30.511,9.53,6.962382,15.389931,10.205108
02.05.2022,17:00,3.454,20.135,8.172,8.816103,12.565621,10.184988
02.05.2022,18:00,9.73,14.8,7.19,9.604585,13.4105625,10.659471
02.05.2022,19:00,27.269,22.318,9.344,8.83636,13.155954,11.429967
02.05.2022,20:00,27.789,25.601,15.303,7.841309,13.697956,12.486623
02.05.2022,21:00,,,,7.4759192,13.338235,10.753859
02.05.2022,22:00,7.187,16.759,10.497,6.8545327,11.503289,8.646579
02.05.2022,23:00,11.492,18.932,11.609,6.421787,10.966914,9.563505
03.05.2022,00:00,3.954,13.788,8.759,5.546796,9.029464,7.9090796
03.05.2022,01:00,2.292,9.93,7.826,5.210883,9.844359,8.455047
03.05.2022,02:00,0.518,11.131,8.587,4.2262225,9.915518,8.394452
03.05.2022,03:00,1.255,10.787,8.821,3.8745904,9.491032,8.334609
03.05.2022,04:00,1.839,11.3,9.346,3.9612625,9.508341,8.502639
03.05.2022,05:00,1.545,10.631,8.56,4.787096,12.92247,8.437379
03.05.2022,06:00,3.742,10.412,8.105,5.977058,11.127534,8.771397
03.05.2022,07:00,8.32,13.033,7.928,6.228973,12.294112,9.698168
03.05.2022,08:00,12.294,25.319,9.717,5.894744,13.760253,10.235475
03.05.2022,09:00,,85.713,17.658,5.0138164,13.071744,10.251984
03.05.2022,10:00,2.961,104.502,19.304,4.1392527,12.163021,9.886766
03.05.2022,11:00,1.706,116.775,20.837,3.8605213,11.4680605,10.3668
03.05.2022,12:00,1.419,105.865,19.414,3.7202606,11.344055,8.610503
03.05.2022,13:00,1.256,60.012,12.941,4.0750775,11.709076,10.401684
03.05.2022,14:00,1.11,47.212,11.761,4.6044903,12.117309,8.213647
03.05.2022,15:00,2.787,208.908,33.829,4.565891,12.6481495,10.226352
03.05.2022,16:00,2.532,84.014,17.007,5.7570376,14.546098,12.569276
03.05.2022,17:00,1.668,33.905,10.488,7.030607,13.4994135,13.031148
03.05.2022,18:00,0.403,21.627,8.653,5.9120426,14.050907,12.854977
03.05.2022,19:00,1.928,26.775,9.262,6.76886,12.069711,13.172801
03.05.2022,20:00,20.366,19.669,8.607,6.2110386,12.857455,12.915047
03.05.2022,21:00,13.874,28.151,11.249,6.196729,13.588874,12.092642
03.05.2022,22:00,36.014,21.106,11.913,5.455226,12.538843,11.21953
03.05.2022,23:00,25.993,20.693,13.458,4.717344,12.167188,11.223187
04.05.2022,00:00,10.394,20.189,13.53,4.692083,10.055317,9.712195
04.05.2022,01:00,6.353,17.434,10.719,4.336469,10.60698,11.167216
04.05.2022,02:00,3.174,14.67,9.293,4.316458,11.395229,10.442022
04.05.2022,03:00,2.542,12.935,9.045,6.083396,11.839347,10.958274
04.05.2022,04:00,2.727,12.748,9.057,7.387433,13.560554,11.681323
04.05.2022,05:00,2.756,13.294,9.547,8.96837,14.016006,13.05716
04.05.2022,06:00,6.075,13.887,9.683,13.608812,14.311524,13.827952
04.05.2022,07:00,7.345,13.844,9.577,10.112557,15.541456,13.867833
04.05.2022,08:00,21.379,60.782,16.715,6.8844485,14.507857,12.603011
04.05.2022,09:00,9.158,172.152,31.541,7.5760508,14.247973,13.565062
04.05.2022,10:00,,333.268,52.513,7.4682164,14.040608,11.77781
04.05.2022,11:00,10.18,268.476,44.636,6.4014215,14.634334,10.9137945
04.05.2022,12:00,4.929,307.008,50.708,5.137479,15.540309,13.520434
04.05.2022,13:00,3.285,88.513,19.636,5.583134,16.674448,13.00395
04.05.2022,14:00,1.367,87.307,19.349,7.20064,17.589571,16.806725
04.05.2022,15:00,0.994,124.458,24.508,7.6536565,18.102753,16.454933
04.05.2022,16:00,0.675,141.895,24.845,8.162808,18.154036,16.0367
04.05.2022,17:00,0.735,162.681,27.493,9.752381,17.69398,17.29348
04.05.2022,18:00,-0.987,39.162,10.956,10.025359,17.977673,16.398787
04.05.2022,19:00,-0.225,15.751,8.315,8.144188,18.948015,16.539814
04.05.2022,20:00,0.981,14.999,9.565,6.687385,21.603449,15.520101
04.05.2022,21:00,0.845,19.848,13.81,5.7695265,17.52352,15.252339
04.05.2022,22:00,1.026,16.954,13.355,5.1702714,17.899538,14.666211
04.05.2022,23:00,2.402,17.757,14.227,4.704624,14.298848,13.333249
05.05.2022,00:00,1.187,15.441,12.509,4.442935,16.332659,14.093516
05.05.2022,01:00,0.801,14.369,12.182,4.0227222,15.661229,14.305044
05.05.2022,02:00,0.043,16.336,13.841,3.8835602,15.141888,12.498276
05.05.2022,03:00,-0.171,15.741,13.486,3.2978287,13.922506,11.168595
05.05.2022,04:00,0.599,14.861,12.569,3.8556771,12.327761,11.104277
05.05.2022,05:00,0.783,14.824,12.193,4.290935,10.066608,12.107533
05.05.2022,06:00,0.658,13.169,10.95,3.6034167,9.905944,12.131238
05.05.2022,07:00,0.607,13.302,10.406,4.4779186,10.627247,11.033727
05.05.2022,08:00,2.89,15.659,10.643,4.4070606,10.968407,11.0006275
05.05.2022,09:00,8.957,184.925,33.759,3.5215635,13.027261,12.062809
05.05.2022,10:00,18.511,596,90.926,3.6020527,14.514171,13.50446
05.05.2022,11:00,,443.042,68.293,3.4044945,17.886602,11.467016
05.05.2022,12:00,14.755,540.78,84.985,3.322384,18.886824,11.426668
05.05.2022,13:00,1.778,67.765,15.837,3.6079655,17.9498,11.409048
05.05.2022,14:00,4.261,124.187,24.314,3.6510131,16.823349,11.17291
05.05.2022,15:00,3.442,136.112,25.911,3.8326,16.606714,10.397569
05.05.2022,16:00,3.615,164.805,30.924,4.0217857,13.788459,9.509783
05.05.2022,17:00,15.249,105.614,18.121,4.2755346,12.492569,9.071987
05.05.2022,18:00,0.051,33.82,9.228,4.383765,10.610373,8.164312
05.05.2022,19:00,-0.542,10.89,6.651,4.141839,11.714109,7.730863
05.05.2022,20:00,0.217,13.658,8.162,3.890261,12.509423,9.353376
05.05.2022,21:00,-0.506,21.63,9.148,3.677206,12.277618,9.896245
05.05.2022,22:00,0.573,10.374,8.117,3.9008734,12.950956,9.675418
05.05.2022,23:00,5.621,12.916,10.471,3.4810493,12.545787,9.907804
06.05.2022,00:00,5.442,12.092,9.789,3.0213423,10.710207,10.411899
06.05.2022,01:00,0.618,10.457,8.565,2.9655719,11.525162,9.901432
06.05.2022,02:00,0.499,10.909,8.172,2.327668,10.47739,8.275094
06.05.2022,03:00,0.055,11.915,8.386,1.8974556,11.181557,8.461943
06.05.2022,04:00,0.023,12.058,8.713,1.7971625,10.776533,7.7296605
06.05.2022,05:00,-0.158,11.67,8.261,2.5322993,9.495142,8.087234
06.05.2022,06:00,-0.19,9.671,7.79,3.0786316,12.738636,8.253288
06.05.2022,07:00,2.026,7.742,6.143,3.298643,10.415762,8.832265
06.05.2022,08:00,9.329,17.184,12.315,3.400532,11.478177,9.957651
06.05.2022,09:00,5.839,9.125,6.203,2.9988606,11.841678,9.852625
06.05.2022,10:00,9.301,11.229,6.95,3.5557885,12.076743,7.421686
06.05.2022,11:00,5.519,11.45,6.098,3.51295,12.751684,8.44344
06.05.2022,12:00,,14.347,6.507,2.7659364,12.031252,9.577101
06.05.2022,13:00,7.661,11.61,6.343,4.2840805,12.118504,8.520308
06.05.2022,14:00,2.605,10.436,6.231,3.8128376,11.6339245,9.415701
06.05.2022,15:00,0.53,10.294,6.183,3.0422575,9.656667,6.5249705
06.05.2022,16:00,3.601,11.856,6.88,3.8212612,11.154181,7.76526
06.05.2022,17:00,0.567,11.788,7.971,4.1160436,9.820781,6.995947
06.05.2022,18:00,-0.682,9.957,7.297,4.7067223,11.038359,8.303866
06.05.2022,19:00,-0.266,8.522,6.598,5.219596,11.543818,8.310166
06.05.2022,20:00,-0.244,6.601,5.065,5.2265797,12.706323,9.595254
06.05.2022,21:00,-0.311,6.917,5.074,4.8675866,11.378859,9.031297
06.05.2022,22:00,0.74,8.25,5.411,4.0654407,12.197233,10.06552
06.05.2022,23:00,4.689,9.087,5.884,3.8235166,13.443577,10.833501
07.05.2022,00:00,7.61,9.063,6.268,3.662543,12.32911,9.774385
07.05.2022,01:00,2.141,11.928,7.854,3.3625875,9.856876,7.901683
07.05.2022,02:00,0.545,9.392,5.605,2.8329418,8.152708,7.2984614
07.05.2022,03:00,0.363,10.609,6.996,3.66832,9.575151,8.300809
07.05.2022,04:00,0.554,11.888,7.58,4.6834865,8.3464985,7.656859
07.05.2022,05:00,0.735,11.017,7.239,3.2989078,9.449109,8.215969
07.05.2022,06:00,1.453,10.453,6.438,2.7783225,9.253202,9.186207
07.05.2022,07:00,2.015,9.679,5.755,3.3056624,9.589702,9.27177
07.05.2022,08:00,2.486,9.93,6.217,4.448773,11.556975,9.134152
07.05.2022,09:00,3.398,10.16,6.012,3.9442778,12.28296,9.918159
07.05.2022,10:00,3.993,10.966,5.56,3.6274495,12.766452,9.603518
07.05.2022,11:00,1.595,9.152,4.719,3.61351,13.573439,9.021671
07.05.2022,12:00,1.566,11.902,4.86,3.776877,15.791823,9.126921
07.05.2022,13:00,,8.645,3.903,4.922697,15.145648,8.821414
07.05.2022,14:00,-0.21,12.617,5.111,4.959449,14.581208,8.284081
07.05.2022,15:00,-0.645,15.903,6.62,6.0018353,14.726841,7.596208
07.05.2022,16:00,6.722,16.251,8.107,6.964617,15.546639,9.768509
07.05.2022,17:00,13.794,15.843,6.984,7.0850177,14.079447,9.556516
