Date_Time,NO2,PM10,PM25
2022-05-01 01:00:00,2.843,9.065,6.1
2022-05-01 02:00:00,3.283,10.976,7.822
2022-05-01 03:00:00,1.739,11.431,7.944
2022-05-01 04:00:00,1.523,10.464,7.364
2022-05-01 05:00:00,1.957,10.456,7.533
2022-05-01 06:00:00,3.5,12.476,8.394
2022-05-01 07:00:00,3.9406586193754354,16.358,9.572
2022-05-01 08:00:00,5.004,15.662,9.703
2022-05-01 09:00:00,6.984,17.663,10.435
2022-05-01 10:00:00,3.193,20.612,11.195
2022-05-01 11:00:00,0.977,17.868,10.352
2022-05-01 12:00:00,0.124,18.636,10.846
2022-05-01 13:00:00,0.245,26.475,11.929
2022-05-01 14:00:00,0.48,22.861,10.442
2022-05-01 15:00:00,0.547,16.984,9.932
2022-05-01 16:00:00,1.017,16.166,11.001
2022-05-01 17:00:00,1.03,19.882,14.317
2022-05-01 18:00:00,2.573,87.71,28.894
2022-05-01 19:00:00,5.14,29.52,23.016
2022-05-01 20:00:00,11.263,27.626,20.241
2022-05-01 21:00:00,7.737,30.575,23.771
2022-05-01 22:00:00,5.849,28.504,23.214
2022-05-01 23:00:00,5.162,18.385,13.785
2022-05-02 00:00:00,4.148,10.799,7.677
2022-05-02 01:00:00,10.786,16.842,12.171
2022-05-02 02:00:00,9.859,16.831,12.852
2022-05-02 03:00:00,4.057,17.74,14.544
2022-05-02 04:00:00,2.347,16.735,14.922
2022-05-02 05:00:00,1.352,14.011,12.322
2022-05-02 06:00:00,3.483,10.983,8.903
2022-05-02 07:00:00,4.579,10.334,7.239
2022-05-02 08:00:00,3.3953714874319374,12.822,5.886
2022-05-02 09:00:00,9.465,98.123,20.22
2022-05-02 13:00:00,1.833,148.489,25.471
2022-05-02 14:00:00,1.922,25.372,8.856
2022-05-02 15:00:00,0.375,31.362,9.216
2022-05-02 16:00:00,3.952,30.511,9.53
2022-05-02 17:00:00,3.454,20.135,8.172
2022-05-02 18:00:00,9.73,14.8,7.19
2022-05-02 19:00:00,27.269,22.318,9.344
2022-05-02 20:00:00,27.789,25.601,15.303
2022-05-02 21:00:00,5.474543940965326,22.129264077163224,11.807168006486215
2022-05-02 22:00:00,7.187,16.759,10.497
2022-05-02 23:00:00,11.492,18.932,11.609
2022-05-03 00:00:00,3.954,13.788,8.759
2022-05-03 01:00:00,2.292,9.93,7.826
2022-05-03 02:00:00,0.518,11.131,8.587
2022-05-03 03:00:00,1.255,10.787,8.821
2022-05-03 04:00:00,1.839,11.3,9.346
2022-05-03 05:00:00,1.545,10.631,8.56
2022-05-03 06:00:00,3.742,10.412,8.105
2022-05-03 07:00:00,8.32,13.033,7.928
2022-05-03 08:00:00,12.294,25.319,9.717
2022-05-03 09:00:00,3.5463346908683455,85.713,17.658
2022-05-03 10:00:00,2.961,104.502,19.304
2022-05-03 11:00:00,1.706,116.775,20.837
2022-05-03 12:00:00,1.419,105.865,19.414
2022-05-03 13:00:00,1.256,60.012,12.941
2022-05-03 14:00:00,1.11,47.212,11.761
2022-05-03 15:00:00,2.787,208.908,33.829
2022-05-03 16:00:00,2.532,84.014,17.007
2022-05-03 17:00:00,1.668,33.905,10.488
2022-05-03 18:00:00,0.403,21.627,8.653
2022-05-03 19:00:00,1.928,26.775,9.262
2022-05-03 20:00:00,20.366,19.669,8.607
2022-05-03 21:00:00,13.874,28.151,11.249
2022-05-03 22:00:00,36.014,21.106,11.913
2022-05-03 23:00:00,25.993,20.693,13.458
2022-05-04 00:00:00,10.394,20.189,13.53
2022-05-04 01:00:00,6.353,17.434,10.719
2022-05-04 02:00:00,3.174,14.67,9.293
2022-05-04 03:00:00,2.542,12.935,9.045
2022-05-04 04:00:00,2.727,12.748,9.057
2022-05-04 05:00:00,2.756,13.294,9.547
2022-05-04 06:00:00,6.075,13.887,9.683
2022-05-04 07:00:00,7.345,13.844,9.577
2022-05-04 08:00:00,21.379,60.782,16.715
2022-05-04 09:00:00,9.158,172.152,31.541
2022-05-04 11:00:00,10.18,268.476,44.636
2022-05-04 13:00:00,3.285,88.513,19.636
2022-05-04 14:00:00,1.367,87.307,19.349
2022-05-04 15:00:00,0.994,124.458,24.508
2022-05-04 16:00:00,0.675,141.895,24.845
2022-05-04 17:00:00,0.735,162.681,27.493
2022-05-04 18:00:00,6.533926302859916,39.162,10.956
2022-05-04 19:00:00,5.7662183510093445,15.751,8.315
2022-05-04 20:00:00,0.981,14.999,9.565
2022-05-04 21:00:00,0.845,19.848,13.81
2022-05-04 22:00:00,1.026,16.954,13.355
2022-05-04 23:00:00,2.402,17.757,14.227
2022-05-05 00:00:00,1.187,15.441,12.509
2022-05-05 01:00:00,0.801,14.369,12.182
2022-05-05 02:00:00,0.043,16.336,13.841
2022-05-05 03:00:00,2.5964949331120213,15.741,13.486
2022-05-05 04:00:00,0.599,14.861,12.569
2022-05-05 05:00:00,0.783,14.824,12.193
2022-05-05 06:00:00,0.658,13.169,10.95
2022-05-05 07:00:00,0.607,13.302,10.406
2022-05-05 08:00:00,2.89,15.659,10.643
2022-05-05 09:00:00,8.957,184.925,33.759
2022-05-05 13:00:00,1.778,67.765,15.837
2022-05-05 14:00:00,4.261,124.187,24.314
2022-05-05 15:00:00,3.442,136.112,25.911
2022-05-05 16:00:00,3.615,164.805,30.924
2022-05-05 17:00:00,15.249,105.614,18.121
2022-05-05 18:00:00,0.051,33.82,9.228
2022-05-05 19:00:00,3.0021387239957082,10.89,6.651
2022-05-05 20:00:00,0.217,13.658,8.162
2022-05-05 21:00:00,2.7695413064773238,21.63,9.148
2022-05-05 22:00:00,0.573,10.374,8.117
2022-05-05 23:00:00,5.621,12.916,10.471
2022-05-06 00:00:00,5.442,12.092,9.789
2022-05-06 01:00:00,0.618,10.457,8.565
2022-05-06 02:00:00,0.499,10.909,8.172
2022-05-06 03:00:00,0.055,11.915,8.386
2022-05-06 04:00:00,0.023,12.058,8.713
2022-05-06 05:00:00,2.2934744128992826,11.67,8.261
2022-05-06 06:00:00,2.502118837097404,9.671,7.79
2022-05-06 07:00:00,2.026,7.742,6.143
2022-05-06 08:00:00,9.329,17.184,12.315
2022-05-06 09:00:00,5.839,9.125,6.203
2022-05-06 10:00:00,9.301,11.229,6.95
2022-05-06 11:00:00,5.519,11.45,6.098
2022-05-06 12:00:00,2.376641679110012,14.347,6.507
2022-05-06 13:00:00,7.661,11.61,6.343
2022-05-06 14:00:00,2.605,10.436,6.231
2022-05-06 15:00:00,0.53,10.294,6.183
2022-05-06 16:00:00,3.601,11.856,6.88
2022-05-06 17:00:00,0.567,11.788,7.971
2022-05-06 18:00:00,3.334791929426949,9.957,7.297
2022-05-06 19:00:00,3.7008833641862235,8.522,6.598
2022-05-06 20:00:00,3.7063005149988033,6.601,5.065
2022-05-06 21:00:00,3.4427154360361154,6.917,5.074
2022-05-06 22:00:00,0.74,8.25,5.411
2022-05-06 23:00:00,4.689,9.087,5.884
2022-05-07 00:00:00,7.61,9.063,6.268
2022-05-07 01:00:00,2.141,11.928,7.854
2022-05-07 02:00:00,0.545,9.392,5.605
2022-05-07 03:00:00,0.363,10.609,6.996
2022-05-07 04:00:00,0.554,11.888,7.58
2022-05-07 05:00:00,0.735,11.017,7.239
2022-05-07 06:00:00,1.453,10.453,6.438
