Date,Temperature_C,Humidity_%,Speed_kmh,Pressure_hPa,Precip_Accum_mm,Wind,NO2,PM10,PM25,AQI,Dominant_pollutant
2022-05-01,15.83,64.67,3.14,1009.19,0.0,NNE,11.26,21.06,12.05,43.656000000000006,PM10
2022-05-02,15.62,69.17,2.93,1007.62,0.0,NNE,27.79,26.66,13.86,56.468,PM10
2022-05-03,16.9,64.41,2.79,1008.14,0.0,NE,36.01,35.39,11.71,76.872,PM10
2022-05-04,15.25,73.6,3.34,1011.78,0.0,SE,21.38,53.9,14.49,77.928,PM10
2022-05-05,15.33,83.22,5.02,1014.26,0.04,SE,15.25,56.1,16.15,50.912,PM10
2022-05-06,14.08,92.59,3.76,1013.92,9.71,NNE,9.33,30.76,10.99,17.8189,PM10
2022-05-07,15.93,82.19,2.78,1012.03,0.0,NNE,13.79,10.67,6.49,23.0627,PM10
2022-05-08,18.18,68.68,3.61,1012.14,0.0,NNE,7.96,13.81,8.36,59.0,PM10
2022-05-09,19.57,63.33,4.85,1015.2,0.0,NNE,17.2,37.5,15.0,72.656,PM10
2022-05-10,19.41,63.74,3.1,1014.55,0.0,NE,13.59,48.88,15.85,70.82,PM10
2022-05-11,20.29,66.72,1.12,1014.0,0.0,NE,17.73,47.35,16.74,80.5104,PM10
2022-05-12,18.76,80.15,3.52,1014.56,0.0,SE,11.15,61.48,21.76,77.664,PM10
2022-05-13,19.76,74.92,2.91,1012.83,0.0,NE,16.45,55.55,19.31,79.608,PM10
2022-05-14,21.96,65.78,3.5,1011.57,0.0,NNE,19.34,59.6,17.91,46.519999999999996,PM10
2022-05-15,21.99,65.68,1.33,1011.67,0.0,NNE,24.55,28.45,10.72,55.592,PM10
2022-05-16,20.62,76.16,2.99,1012.51,0.0,NNE,13.14,34.66,11.9,69.068,PM10
2022-05-17,21.2,73.14,2.0,1011.46,0.0,NNE,35.71,45.89,13.81,52.256,PM10
2022-05-18,21.54,54.41,6.04,1015.6,0.0,NNE,3.35,31.88,15.34,58.040000000000006,PM10
2022-05-19,19.7,56.28,1.93,1020.72,0.0,NNE,18.43,36.7,18.26,72.28399999999999,PM10
2022-05-20,18.23,66.28,2.31,1019.49,0.0,NE,9.32,48.57,10.47,79.8,PM10
2022-05-21,20.76,75.16,2.39,1012.12,0.0,NE,15.95,60.0,12.15,66.416,PM10
2022-05-22,22.18,73.55,2.81,1006.23,0.0,NNE,17.26,43.68,14.2,58.7,PM10
2022-05-23,22.0,81.67,5.93,1002.95,0.0,SE,12.56,37.25,14.45,75.2496,PM10
