Date,Temperature_C,Humidity_%,Speed_kmh,Pressure_hPa,Precip_Accum_mm,Wind
2022-05-01,15.83,64.67,3.14,1009.19,0.0,NNE
2022-05-02,15.62,69.17,2.93,1007.62,0.0,NNE
2022-05-03,16.9,64.41,2.79,1008.14,0.0,NE
2022-05-04,15.25,73.6,3.34,1011.78,0.0,SE
2022-05-05,15.33,83.22,5.02,1014.26,0.04,SE
2022-05-06,14.08,92.59,3.76,1013.92,9.71,NNE
2022-05-07,15.93,82.19,2.78,1012.03,0.0,NNE
2022-05-08,18.18,68.68,3.61,1012.14,0.0,NNE
2022-05-09,19.57,63.33,4.85,1015.2,0.0,NNE
2022-05-10,19.41,63.74,3.1,1014.55,0.0,NE
2022-05-11,20.29,66.72,1.12,1014.0,0.0,NE
2022-05-12,18.76,80.15,3.52,1014.56,0.0,SE
2022-05-13,19.76,74.92,2.91,1012.83,0.0,NE
2022-05-14,21.96,65.78,3.5,1011.57,0.0,NNE
2022-05-15,21.99,65.68,1.33,1011.67,0.0,NNE
2022-05-16,20.62,76.16,2.99,1012.51,0.0,NNE
2022-05-17,21.2,73.14,2.0,1011.46,0.0,NNE
2022-05-18,21.54,54.41,6.04,1015.6,0.0,NNE
2022-05-19,19.7,56.28,1.93,1020.72,0.0,NNE
2022-05-20,18.23,66.28,2.31,1019.49,0.0,NE
2022-05-21,20.76,75.16,2.39,1012.12,0.0,NE
2022-05-22,22.18,73.55,2.81,1006.23,0.0,NNE
2022-05-23,22.0,81.67,5.93,1002.95,0.0,SE
2022-05-24,21.86,84.12,9.61,1002.05,0.0,SSE
2022-05-25,21.85,85.65,6.28,1006.9,0.0,SSE
2022-05-26,23.02,65.6,3.07,1013.35,0.0,NE
2022-05-27,22.68,65.36,0.98,1010.78,0.0,NE
2022-05-28,19.47,65.11,8.74,1003.76,0.33,NNE
2022-05-29,15.89,74.59,7.74,1000.87,0.6,NNE
2022-05-30,16.28,84.94,2.85,1004.41,3.18,NNE
2022-05-31,20.08,85.04,1.73,1008.46,2.91,NE
2022-06-01,21.22,85.72,2.37,1010.11,0.0,NNE
2022-06-02,23.9,70.51,1.81,1014.07,0.0,NE
2022-06-03,24.18,68.74,2.31,1011.84,0.0,NE
2022-06-04,24.61,66.17,1.04,1011.52,0.0,NE
2022-06-05,23.92,69.69,4.69,1009.28,0.0,SE
2022-06-06,24.52,64.91,4.27,1008.29,0.0,NNE
2022-06-07,24.14,62.74,4.2,1004.68,0.1,East
2022-06-08,21.12,75.38,2.57,1002.8,0.18,NNE
2022-06-09,18.53,87.68,5.47,1000.53,3.18,NNW
